period,county,MOH 731_HIV_TB_OnART_15-19_(F)_HV03-24,MOH 731_HIV_TB_OnART_15-19_(M)_HV03-23,MOH 731_HIV_TB_OnART_20-24_(F)_HV03-26,MOH 731_HIV_TB_OnART_20-24_(M)_HV03-25,MOH 731_HIV_TB_OnART_25+_(F)_HV03-28,MOH 731_HIV_TB_OnART_25+_(M)_HV03-27,adults_on_art,art_total_males,art_total_females
December 2025,Baringo,82,70,164,92,3629,1701,5738,1863,3875
December 2025,Bomet,234,160,416,175,7745,3616,12346,3951,8395
December 2025,Bungoma,591,450,1235,400,20203,7717,30596,8567,22029
December 2025,Busia,543,467,940,425,23538,11203,37116,12095,25021
December 2025,Elgeyo Marakwet,83,68,149,55,3196,1368,4919,1491,3428
December 2025,Embu,154,171,301,194,7364,3222,11406,3587,7819
December 2025,Garissa,39,24,61,14,960,406,1504,444,1060
December 2025,Homa Bay,2606,2119,3648,1530,74519,37051,121473,40700,80773
December 2025,Isiolo,43,31,89,35,1461,663,2322,729,1593
December 2025,Kajiado,253,201,655,241,11842,4955,18147,5397,12750
December 2025,Kakamega,1024,773,1450,583,31923,13052,48805,14408,34397
December 2025,Kericho,257,256,599,252,10161,4871,16396,5379,11017
December 2025,Kiambu,496,481,1252,743,28908,13169,45049,14393,30656
December 2025,Kilifi,547,474,891,417,19286,6830,28445,7721,20724
December 2025,Kirinyaga,144,146,282,161,8226,3747,12706,4054,8652
December 2025,Kisii,795,540,1690,495,25600,11177,40297,12212,28085
December 2025,Kisumu,2063,1695,2661,1456,66571,34969,109415,38120,71295
December 2025,Kitui,490,471,739,379,16682,6075,24836,6925,17911
December 2025,Kwale,277,232,453,184,9790,3453,14389,3869,10520
December 2025,Laikipia,150,125,271,160,6274,2803,9783,3088,6695
December 2025,Lamu,44,33,48,22,1222,575,1944,630,1314
December 2025,Machakos,504,463,861,525,20353,8645,31351,9633,21718
December 2025,Makueni,493,517,803,428,16213,6573,25027,7518,17509
December 2025,Mandera,12,5,9,10,440,354,830,369,461
December 2025,Marsabit,21,21,33,14,954,376,1419,411,1008
December 2025,Meru,445,334,702,397,14735,6783,23396,7514,15882
December 2025,Migori,1595,1299,2292,790,47848,22295,76119,24384,51735
December 2025,Mombasa,541,482,1152,599,32111,15386,50271,16467,33804
December 2025,Murang'a,238,221,469,274,11438,5224,17864,5719,12145
December 2025,Nairobi,1787,1585,4321,2601,109238,53658,173190,57844,115346
December 2025,Nakuru,687,624,1215,637,28917,13149,45229,14410,30819
December 2025,Nandi,216,175,407,206,8673,3710,13387,4091,9296
December 2025,Narok,280,185,568,178,7459,3591,12261,3954,8307
December 2025,Nyamira,335,260,583,204,10469,4668,16519,5132,11387
December 2025,Nyandarua,176,155,311,188,7003,3310,11143,3653,7490
December 2025,Nyeri,198,198,426,318,12103,5478,18721,5994,12727
December 2025,Samburu,46,54,103,26,1354,521,2104,601,1503
December 2025,Siaya,1814,1539,1990,878,55882,28728,90831,31145,59686
December 2025,Taita Taveta,96,80,184,115,4753,2113,7341,2308,5033
December 2025,Tana River,39,20,67,20,1119,418,1683,458,1225
December 2025,Tharaka Nithi,125,84,186,140,5053,2454,8042,2678,5364
December 2025,Trans Nzoia,314,284,629,226,12085,5375,18913,5885,13028
December 2025,Turkana,197,209,350,116,5426,3112,9410,3437,5973
December 2025,Uasin Gishu,477,421,1004,561,21558,10467,34488,11449,23039
December 2025,Vihiga,344,290,534,267,11210,5365,18010,5922,12088
December 2025,Wajir,5,5,8,4,254,129,405,138,267
December 2025,West Pokot,64,44,134,47,2680,1345,4314,1436,2878
