county,period,MOH 731_HIV_TB_OnART_15-19_(F)_HV03-24,MOH 731_HIV_TB_OnART_15-19_(M)_HV03-23,MOH 731_HIV_TB_OnART_20-24_(F)_HV03-26,MOH 731_HIV_TB_OnART_20-24_(M)_HV03-25,MOH 731_HIV_TB_OnART_25+_(F)_HV03-28,MOH 731_HIV_TB_OnART_25+_(M)_HV03-27,adults_on_art,art_total_males,art_total_females,MOH 731_HTS_Tests _(F) (Including PMTCT)_ HV01-02,MOH 731_HTS_Tests _(M)_ HV01-01,hts_tested,hts_tested_males,hts_tested_females,MOH 731_HTS_Positive_2-9 _(M)_ HV01-06,MOH 731_HTS_Positive_2-9 _(F) (Including PMTCT)_ HV01-07,MOH 731_HTS_Positive_10-14 _(F) (Including PMTCT)_HV01-09,MOH 731_HTS_Positive_10-14 _(M)_HV01-08,MOH 731_HTS_Positive_15-19 _(F) (Including PMTCT)_HV01-11,MOH 731_HTS_Positive_15-19 _(M)_HV01-10,MOH 731_HTS_Positive_20-24 _(M)_HV01-12,MOH 731_HTS_Positive_20-24 _(F) (Including PMTCT)_HV01-13,MOH 731_HTS_Positive_25+ _(M)_HV01-14,MOH 731_HTS_Positive_25+ _(F) (Including PMTCT)_HV01-15,hts_positive,hts_positive_males,hts_positive_females,vlt_valid_under15,vls_suppressed_under15,vlt_valid_male_15plus,vls_suppressed_male_15plus,vlt_valid_female_15plus,vls_suppressed_female_15plus,vls_rate_male15plus,vls_rate_female15plus,vls_rate_under15,vls_rate_adult,Actively on Treatment by the Beginning of 2025 Children,iit_children,Actively on Treatment by the Beginning of 2025 female adult,iit_female,Actively on Treatment by the Beginning of 2025 Male,iit_male,adults_on_treatment,iit_count,iit_rate_pct,iit_rate_children_pct,iit_rate_male_pct,iit_rate_female_pct,hts_positivity_rate,iit_rate_yoy_change,vls_rate_adult_yoy_change,iit_rate,care_gap_index,art_coverage,vls_rate,cluster,tier
Baringo,2025,82,70,164,92,3629,1701,5738,1863,3875,49731,11697,61428,11697,49731,5.0,4.0,2.0,2.0,6.0,6.0,6,37,128,200,390,141,249,73,56,807,743.0,1821,1701,0.9207,0.9341,0.7671,0.93,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0063488962688025,0,0,0.153,9.046977925376048,0.5,0.93,0,Critical
Bomet,2025,234,160,416,175,7745,3616,12346,3951,8395,82677,17389,100066,17389,82677,16.0,27.0,6.0,5.0,56.0,8.0,20,145,400,508,1191,449,742,272,230,2276,2112.0,5230,4872,0.9279,0.9315,0.8456,0.9305,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0119021445845741,0,0,0.153,9.138042891691486,0.5,0.9305,0,Critical
Bungoma,2025,591,450,1235,400,20203,7717,30596,8567,22029,197275,47767,245042,47767,197275,57.0,47.0,28.0,21.0,107.0,9.0,48,376,739,1478,2910,874,2036,326,289,4039,3848.0,10589,10221,0.9527,0.9652,0.8865,0.9618,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091,0.0118755152177993,0,0,0.0895,5.345510304355988,0.5,0.9618,1,High
Busia,2025,543,467,940,425,23538,11203,37116,12095,25021,105524,27674,133198,27674,105524,33.0,12.0,6.0,8.0,57.0,4.0,22,181,492,864,1679,559,1120,247,218,5024,4818.0,10792,10454,0.959,0.9687,0.8826,0.9656,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091,0.0126052943737893,0,0,0.0895,5.208105887475787,0.5,0.9656,1,High
Elgeyo Marakwet,2025,83,68,149,55,3196,1368,4919,1491,3428,40281,8778,49059,8778,40281,5.0,8.0,7.0,5.0,11.0,2.0,9,34,95,191,360,116,244,112,92,986,939.0,2332,2211,0.9523,0.9481,0.8214,0.9494,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0073381031003485,0,0,0.153,8.290762062006971,0.5,0.9494,0,Critical
Embu,2025,154,171,301,194,7364,3222,11406,3587,7819,47656,14024,61680,14024,47656,12.0,9.0,5.0,2.0,19.0,4.0,18,71,247,372,759,283,476,100,83,1664,1547.0,4025,3817,0.9297,0.9483,0.83,0.9429,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093,0.0123054474708171,0,0,0.0888,6.0821089494163445,0.5,0.9429,1,High
Garissa,2025,39,24,61,14,960,406,1504,444,1060,45870,9150,55020,9150,45870,17.0,4.0,1.0,1.0,5.0,6.0,4,16,54,96,181,59,122,52,45,249,235.0,737,681,0.9438,0.924,0.8654,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1120522727272727,0.1067272727272727,0.1109545454545454,0.1124772727272727,0.0032897128316975,0,0,0.1120522727272727,7.387885165724857,0.5,0.929,2,Moderate
Homa Bay,2025,2606,2119,3648,1530,74519,37051,121473,40700,80773,145600,70129,215729,70129,145600,110.0,96.0,125.0,80.0,342.0,142.0,163,788,1744,2378,5968,2239,3729,1861,1669,23959,22702.0,48389,46525,0.9475,0.9615,0.8968,0.9569,101.16666666666669,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.333333333333,204.8333333333333,0.0913,0.086,0.094,0.09,0.027664338127929,0,0,0.0913,5.929286762558582,0.5,0.9569,1,High
Isiolo,2025,43,31,89,35,1461,663,2322,729,1593,12385,3960,16345,3960,12385,5.0,3.0,5.0,1.0,9.0,5.0,7,29,92,139,295,110,185,27,23,130,117.0,460,415,0.9,0.9022,0.8519,0.9017,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093,0.0180483328234934,0,0,0.0888,7.844966656469871,0.5,0.9017,2,Moderate
Kajiado,2025,253,201,655,241,11842,4955,18147,5397,12750,89589,22153,111742,22153,89589,17.0,16.0,3.0,7.0,32.0,4.0,30,154,313,664,1240,371,869,169,151,2380,2284.0,5633,5444,0.9597,0.9664,0.8935,0.9644,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0110969912834923,0,0,0.153,7.765939825669846,0.5,0.9644,0,Critical
Kakamega,2025,1024,773,1450,583,31923,13052,48805,14408,34397,195930,28469,224399,28469,195930,39.0,43.0,6.0,8.0,163.0,14.0,42,370,732,1321,2738,835,1903,1047,927,7378,7050.0,18179,17501,0.9555,0.9627,0.8854,0.9606,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091,0.012201480398754,0,0,0.0895,5.400029607975079,0.5,0.9606,1,High
Kericho,2025,257,256,599,252,10161,4871,16396,5379,11017,77576,22301,99877,22301,77576,22.0,40.0,8.0,24.0,56.0,6.0,26,183,494,684,1543,572,971,249,213,3031,2881.0,6387,6096,0.9505,0.9544,0.8554,0.9532,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0154490022727955,0,0,0.153,8.30098004545591,0.5,0.9532,0,Critical
Kiambu,2025,496,481,1252,743,28908,13169,45049,14393,30656,190963,64816,255779,64816,190963,37.0,45.0,10.0,10.0,43.0,12.0,108,321,1030,1617,3233,1197,2036,425,372,9015,8651.0,19853,19112,0.9596,0.9627,0.8753,0.9617,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096,0.012639817967855,0,0,0.1007,5.812796359357102,0.5,0.9617,1,High
