year,iit_rate,vls_rate_adult,scenario
2025,0.10865791233766234,0.9055430714285715,A
2026,0.10865791233766234,0.9055430714285715,A
2027,0.10865791233766234,0.9055430714285715,A
2028,0.10865791233766234,0.9055430714285715,A
2029,0.10865791233766234,0.9055430714285715,A
2030,0.10865791233766234,0.9055430714285715,A
2025,0.10865775,0.905543,B
2026,0.09023775,0.9147529999999999,B
2027,0.09023775,0.9147529999999999,B
2028,0.09023775,0.9147529999999999,B
2029,0.09023775,0.9147529999999999,B
2030,0.09023775,0.9147529999999999,B
