period,county,MOH 731_HTS_Tests _(F) (Including PMTCT)_ HV01-02,MOH 731_HTS_Tests _(M)_ HV01-01,hts_tested,hts_tested_males,hts_tested_females
2025,Baringo,49731,11697,61428,11697,49731
2025,Bomet,82677,17389,100066,17389,82677
2025,Bungoma,197275,47767,245042,47767,197275
2025,Busia,105524,27674,133198,27674,105524
2025,Elgeyo Marakwet,40281,8778,49059,8778,40281
2025,Embu,47656,14024,61680,14024,47656
2025,Garissa,45870,9150,55020,9150,45870
2025,Homa Bay,145600,70129,215729,70129,145600
2025,Isiolo,12385,3960,16345,3960,12385
2025,Kajiado,89589,22153,111742,22153,89589
2025,Kakamega,195930,28469,224399,28469,195930
2025,Kericho,77576,22301,99877,22301,77576
2025,Kiambu,190963,64816,255779,64816,190963
2025,Kilifi,155419,55389,210808,55389,155419
2025,Kirinyaga,65420,17627,83047,17627,65420
2025,Kisii,173492,50065,223557,50065,173492
2025,Kisumu,203423,92186,295609,92186,203423
2025,Kitui,115453,27088,142541,27088,115453
2025,Kwale,78482,24932,103414,24932,78482
2025,Laikipia,50118,12370,62488,12370,50118
2025,Lamu,10524,5377,15901,5377,10524
2025,Machakos,141109,45991,187100,45991,141109
2025,Makueni,105051,36745,141796,36745,105051
2025,Mandera,31236,8144,39380,8144,31236
2025,Marsabit,15412,3075,18487,3075,15412
2025,Meru,109842,39581,149423,39581,109842
2025,Migori,204746,79494,284240,79494,204746
2025,Mombasa,99332,58591,157923,58591,99332
2025,Murang'a,89485,26497,115982,26497,89485
2025,Nairobi,583441,210350,793791,210350,583441
2025,Nakuru,279489,92079,371568,92079,279489
2025,Nandi,66220,19411,85631,19411,66220
2025,Narok,132333,32427,164760,32427,132333
2025,Nyamira,59764,18164,77928,18164,59764
2025,Nyandarua,49175,10618,59793,10618,49175
2025,Nyeri,95257,31057,126314,31057,95257
2025,Samburu,26129,5893,32022,5893,26129
2025,Siaya,165914,68709,234623,68709,165914
2025,Taita Taveta,39378,14450,53828,14450,39378
2025,Tana River,15818,2881,18699,2881,15818
2025,Tharaka Nithi,29661,10623,40284,10623,29661
2025,Trans Nzoia,99858,31469,131327,31469,99858
2025,Turkana,71339,24363,95702,24363,71339
2025,Uasin Gishu,160044,51650,211694,51650,160044
2025,Vihiga,53545,11853,65398,11853,53545
2025,Wajir,20831,4217,25048,4217,20831
2025,West Pokot,67331,12642,79973,12642,67331
