period,county,MOH 731_HTS_Positive_2-9 _(M)_ HV01-06,MOH 731_HTS_Positive_2-9 _(F) (Including PMTCT)_ HV01-07,MOH 731_HTS_Positive_10-14 _(F) (Including PMTCT)_HV01-09,MOH 731_HTS_Positive_10-14 _(M)_HV01-08,MOH 731_HTS_Positive_15-19 _(F) (Including PMTCT)_HV01-11,MOH 731_HTS_Positive_15-19 _(M)_HV01-10,MOH 731_HTS_Positive_20-24 _(M)_HV01-12,MOH 731_HTS_Positive_20-24 _(F) (Including PMTCT)_HV01-13,MOH 731_HTS_Positive_25+ _(M)_HV01-14,MOH 731_HTS_Positive_25+ _(F) (Including PMTCT)_HV01-15,hts_positive,hts_positive_males,hts_positive_females
2025,Baringo,5.0,4.0,2.0,2.0,6.0,6.0,6,37,128,200,390,141,249
2025,Bomet,16.0,27.0,6.0,5.0,56.0,8.0,20,145,400,508,1191,449,742
2025,Bungoma,57.0,47.0,28.0,21.0,107.0,9.0,48,376,739,1478,2910,874,2036
2025,Busia,33.0,12.0,6.0,8.0,57.0,4.0,22,181,492,864,1679,559,1120
2025,Elgeyo Marakwet,5.0,8.0,7.0,5.0,11.0,2.0,9,34,95,191,360,116,244
2025,Embu,12.0,9.0,5.0,2.0,19.0,4.0,18,71,247,372,759,283,476
2025,Garissa,17.0,4.0,1.0,1.0,5.0,6.0,4,16,54,96,181,59,122
2025,Homa Bay,110.0,96.0,125.0,80.0,342.0,142.0,163,788,1744,2378,5968,2239,3729
2025,Isiolo,5.0,3.0,5.0,1.0,9.0,5.0,7,29,92,139,295,110,185
2025,Kajiado,17.0,16.0,3.0,7.0,32.0,4.0,30,154,313,664,1240,371,869
2025,Kakamega,39.0,43.0,6.0,8.0,163.0,14.0,42,370,732,1321,2738,835,1903
2025,Kericho,22.0,40.0,8.0,24.0,56.0,6.0,26,183,494,684,1543,572,971
2025,Kiambu,37.0,45.0,10.0,10.0,43.0,12.0,108,321,1030,1617,3233,1197,2036
2025,Kilifi,23.0,23.0,12.0,13.0,56.0,11.0,55,248,604,1178,2223,706,1517
2025,Kirinyaga,8.0,5.0,2.0,8.0,16.0,5.0,15,47,231,334,663,259,404
2025,Kisii,29.0,35.0,26.0,20.0,175.0,19.0,68,420,876,1353,3021,1012,2009
2025,Kisumu,47.0,42.0,31.0,21.0,143.0,34.0,92,483,1291,2032,4216,1485,2731
2025,Kitui,26.0,17.0,9.0,9.0,52.0,6.0,35,154,389,712,1409,465,944
2025,Kwale,17.0,12.0,8.0,8.0,36.0,5.0,16,113,273,483,971,319,652
2025,Laikipia,2.0,47.0,1.0,3.0,24.0,3.0,11,67,197,264,619,216,403
2025,Lamu,3.0,5.0,1.0,3.0,1.0,1.0,5,17,61,67,164,73,91
2025,Machakos,49.0,60.0,7.0,83.0,74.0,21.0,82,231,662,1140,2409,897,1512
2025,Makueni,16.0,14.0,7.0,5.0,35.0,6.0,29,153,428,641,1334,484,850
2025,Mandera,17.0,1.0,1.0,8.0,43.0,1.0,1,2,13,12,31,15,16
2025,Marsabit,5.0,6.0,2.0,4.0,2.0,1.0,2,8,52,50,132,64,68
2025,Meru,27.0,22.0,11.0,8.0,43.0,11.0,41,157,580,906,1806,667,1139
2025,Migori,44.0,68.0,41.0,29.0,140.0,23.0,84,509,964,1688,3590,1144,2446
2025,Mombasa,24.0,26.0,4.0,18.0,33.0,12.0,50,187,633,946,1933,737,1196
2025,Murang'a,8.0,11.0,6.0,5.0,23.0,5.0,21,88,305,453,925,344,581
2025,Nairobi,87.0,94.0,29.0,39.0,206.0,71.0,384,1185,3323,5768,11186,3904,7282
2025,Nakuru,39.0,33.0,25.0,8.0,88.0,18.0,72,370,989,1413,3055,1126,1929
2025,Nandi,17.0,12.0,12.0,16.0,59.0,22.0,14,109,342,581,1184,411,773
2025,Narok,14.0,16.0,10.0,9.0,59.0,10.0,25,187,399,600,1329,457,872
2025,Nyamira,21.0,19.0,7.0,20.0,43.0,5.0,10,95,225,329,774,281,493
2025,Nyandarua,10.0,12.0,1.0,10.0,23.0,3.0,16,71,200,295,641,239,402
2025,Nyeri,28.0,21.0,10.0,34.0,28.0,1.0,30,84,401,508,1145,494,651
2025,Samburu,11.0,4.0,6.0,1.0,16.0,5.0,9,35,75,135,297,101,196
2025,Siaya,48.0,32.0,15.0,13.0,108.0,18.0,71,395,1153,1681,3534,1303,2231
2025,Taita Taveta,4.0,6.0,1.0,2.0,14.0,2.0,17,42,136,233,457,161,296
2025,Tana River,2.0,1.0,7.0,2.0,12.0,1.0,2,32,33,96,181,40,141
2025,Tharaka Nithi,8.0,3.0,2.0,3.0,10.0,2.0,5,42,153,233,461,171,290
2025,Trans Nzoia,17.0,21.0,2.0,9.0,60.0,7.0,38,199,495,795,1643,566,1077
2025,Turkana,15.0,21.0,7.0,4.0,53.0,19.0,27,115,231,277,769,296,473
2025,Uasin Gishu,26.0,19.0,8.0,11.0,44.0,11.0,48,204,668,902,1941,764,1177
2025,Vihiga,44.0,75.0,187.0,154.0,529.0,515.0,18,410,453,387,2772,1184,1588
2025,Wajir,17.0,18.0,7.0,8.0,2.0,6.0,3,2,9,20,36,12,24
2025,West Pokot,11.0,4.0,1.0,2.0,13.0,1.0,7,58,173,212,482,194,288
