county,tier,severity,iit_rate,vls_rate_adult,hts_positivity_rate,care_gap_index,alert_reason
Baringo,Critical,IMMEDIATE ACTION,0.153,0.93,0.0063488962688025,9.046977925376046,Above fallback threshold (15%)
Bomet,Critical,IMMEDIATE ACTION,0.153,0.9305,0.0119021445845741,9.138042891691487,Above fallback threshold (15%)
Uasin Gishu,Critical,IMMEDIATE ACTION,0.153,0.9561,0.0091688947254055,8.059377894508113,Above fallback threshold (15%)
Turkana,Critical,IMMEDIATE ACTION,0.153,0.9267,0.0080353597625963,9.212707195251928,Above fallback threshold (15%)
Trans Nzoia,Critical,IMMEDIATE ACTION,0.153,0.9578,0.0125107555948129,8.05821511189626,Above fallback threshold (15%)
Samburu,Critical,IMMEDIATE ACTION,0.153,0.9131,0.0092748735244519,9.781497470489038,Above fallback threshold (15%)
Narok,Critical,IMMEDIATE ACTION,0.153,0.9363,0.0080662782228696,8.829325564457392,Above fallback threshold (15%)
Nandi,Critical,IMMEDIATE ACTION,0.153,0.9368,0.0138267683432401,8.924535366864806,Above fallback threshold (15%)
Nakuru,Critical,IMMEDIATE ACTION,0.153,0.9568,0.0082219136201179,8.01243827240236,Above fallback threshold (15%)
Laikipia,Critical,IMMEDIATE ACTION,0.153,0.9647,0.0099059019331711,7.730118038663424,Above fallback threshold (15%)
Kericho,Critical,IMMEDIATE ACTION,0.153,0.9532,0.0154490022727955,8.30098004545591,Above fallback threshold (15%)
Kajiado,Critical,IMMEDIATE ACTION,0.153,0.9644,0.0110969912834923,7.765939825669847,Above fallback threshold (15%)
Elgeyo Marakwet,Critical,IMMEDIATE ACTION,0.153,0.9494,0.0073381031003485,8.290762062006971,Above fallback threshold (15%)
West Pokot,Critical,IMMEDIATE ACTION,0.153,0.9137,0.0060270341240168,9.69254068248034,Above fallback threshold (15%)
Nairobi,High,IMMEDIATE ACTION,0.113,0.9636,0.0140918705301521,6.2578374106030425,Above national average (11.21%)
Mandera,High,IMMEDIATE ACTION,0.1120522727272727,1.0,0.0007872016251904,4.497834941594717,Above national average (11.21%)
Garissa,Moderate,MONITOR,0.1120522727272727,0.929,0.0032897128316975,7.387885165724857,Above national average (11.21%)
Wajir,High,IMMEDIATE ACTION,0.1120522727272727,1.0,0.0014372404982433,4.510835719055775,Above national average (11.21%)
