county,Actively on Treatment by the Beginning of 2025 Children,iit_children,Actively on Treatment by the Beginning of 2025 female adult,iit_female,Actively on Treatment by the Beginning of 2025 Male,iit_male,adults_on_treatment,iit_count,iit_rate_pct,iit_rate_children_pct,iit_rate_male_pct,iit_rate_female_pct
Turkana,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
West Pokot,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Samburu,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Trans Nzoia,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Uasin Gishu,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Elgeyo Marakwet,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Nandi,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Baringo,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Laikipia,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Nakuru,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Narok,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Kajiado,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Kericho,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Bomet,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.714285714285715,804.2142857142857,123.07142857142857,0.153,0.131,0.153,0.153
Kakamega,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091
Vihiga,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091
Bungoma,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091
Busia,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091
Marsabit,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Isiolo,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Meru,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Tharaka Nithi,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Embu,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Kitui,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Machakos,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Makueni,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093
Siaya,101.16666666666667,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.3333333333335,204.83333333333334,0.0913,0.086,0.094,0.09
Kisumu,101.16666666666667,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.3333333333335,204.83333333333334,0.0913,0.086,0.094,0.09
Homa Bay,101.16666666666667,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.3333333333335,204.83333333333334,0.0913,0.086,0.094,0.09
Migori,101.16666666666667,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.3333333333335,204.83333333333334,0.0913,0.086,0.094,0.09
Kisii,101.16666666666667,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.3333333333335,204.83333333333334,0.0913,0.086,0.094,0.09
Nyamira,101.16666666666667,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.3333333333335,204.83333333333334,0.0913,0.086,0.094,0.09
Kiambu,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096
Murang'a,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096
Nyandarua,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096
Nyeri,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096
Kirinyaga,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096
Mombasa,26.833333333333332,4.333333333333333,432.0,40.666666666666664,199.83333333333334,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094
Kwale,26.833333333333332,4.333333333333333,432.0,40.666666666666664,199.83333333333334,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094
Kilifi,26.833333333333332,4.333333333333333,432.0,40.666666666666664,199.83333333333334,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094
Tana River,26.833333333333332,4.333333333333333,432.0,40.666666666666664,199.83333333333334,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094
Lamu,26.833333333333332,4.333333333333333,432.0,40.666666666666664,199.83333333333334,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094
Taita Taveta,26.833333333333332,4.333333333333333,432.0,40.666666666666664,199.83333333333334,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094
Nairobi,169.0,18.0,4898.0,564.0,2494.0,271.0,7392.0,835.0,0.113,0.107,0.109,0.115
Garissa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11205227272727275,0.1067272727272727,0.11095454545454549,0.11247727272727275
Wajir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11205227272727275,0.1067272727272727,0.11095454545454549,0.11247727272727275
Mandera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11205227272727275,0.1067272727272727,0.11095454545454549,0.11247727272727275
