Feature,Coefficient,Odds_Ratio,CI_Lower,CI_Upper,CI_Range,direction,OR_label
edu_No education,1.8337624717707024,6.257,1.117,103.983,102.86602251122201,Risk,6.257
wealth_Richest,0.9510021682720563,2.588,0.383,16.327,15.943851650929478,Risk,2.588
currently_in_union,0.9151315233214856,2.497,0.88,8.467,7.587513973170716,Risk,2.497
age_group,0.3875448405662854,1.473,0.976,2.56,1.58416105952359,Risk,1.473
wealth_Middle,0.37294913200111257,1.452,0.135,8.852,8.717589468658987,Risk,1.452
marital_status,0.1108709020413035,1.117,0.505,2.603,2.0975815493309264,Risk,1.117
county,-0.0010452309673356312,0.999,0.952,1.043,0.09112949424884842,Protective,0.999
num_sexual_partners,-0.013259049600360326,0.987,0.287,1.066,0.7794142349644246,Protective,0.987
wealth_Poorer,-0.027058016090404653,0.973,0.004,14.229,14.225152991165286,Protective,0.973
worked_last_12months,-0.09588255226274517,0.909,0.376,1.768,1.3919219641129237,Protective,0.909
edu_Primary,-0.160345220970977,0.852,0.14,4.03,3.8896271887500817,Protective,0.852
wealth_Richer,-0.17612574766885605,0.839,0.12,8.865,8.744740517977188,Protective,0.839
edu_Secondary,-0.36686352512802844,0.693,0.121,7.932,7.810819199264431,Protective,0.693
distance_to_facility,-0.46016951393385935,0.631,0.072,2.77,2.6980347032480885,Protective,0.631
wealth_Poorest,-0.5763985411071209,0.562,0.167,3.425,3.258186394488122,Protective,0.562
edu_Higher,-0.7621847302647203,0.467,0.002,6.407,6.404888166542597,Protective,0.467
ever_tested_hiv,-2.2682749460286122,0.103,0.0,0.321,0.3213245606454598,Protective,0.103
