county,tier,year,iit_bau,iit_bridged,art_retained_bau,art_retained_bridged,patients_saved
Baringo,Critical,2025,0.153,0.153,5738.0,5738.0,0.0
Baringo,Critical,2026,0.153,0.1071,4860.0,5123.0,263.0
Baringo,Critical,2027,0.153,0.1071,4116.0,4575.0,458.0
Baringo,Critical,2028,0.153,0.1071,3487.0,4085.0,598.0
Baringo,Critical,2029,0.153,0.1071,2953.0,3647.0,694.0
Baringo,Critical,2030,0.153,0.1071,2501.0,3257.0,755.0
Bomet,Critical,2025,0.153,0.153,12346.0,12346.0,0.0
Bomet,Critical,2026,0.153,0.1071,10457.0,11024.0,567.0
Bomet,Critical,2027,0.153,0.1071,8857.0,9843.0,986.0
Bomet,Critical,2028,0.153,0.1071,7502.0,8789.0,1287.0
Bomet,Critical,2029,0.153,0.1071,6354.0,7848.0,1493.0
Bomet,Critical,2030,0.153,0.1071,5382.0,7007.0,1625.0
Bungoma,High,2025,0.0895,0.0895,30596.0,30596.0,0.0
Bungoma,High,2026,0.0895,0.06265,27858.0,28679.0,822.0
Bungoma,High,2027,0.0895,0.06265,25364.0,26882.0,1518.0
Bungoma,High,2028,0.0895,0.06265,23094.0,25198.0,2104.0
Bungoma,High,2029,0.0895,0.06265,21027.0,23620.0,2592.0
Bungoma,High,2030,0.0895,0.06265,19145.0,22140.0,2994.0
Busia,High,2025,0.0895,0.0895,37116.0,37116.0,0.0
Busia,High,2026,0.0895,0.06265,33794.0,34791.0,997.0
Busia,High,2027,0.0895,0.06265,30770.0,32611.0,1842.0
Busia,High,2028,0.0895,0.06265,28016.0,30568.0,2552.0
Busia,High,2029,0.0895,0.06265,25508.0,28653.0,3145.0
Busia,High,2030,0.0895,0.06265,23225.0,26858.0,3633.0
Elgeyo Marakwet,Critical,2025,0.153,0.153,4919.0,4919.0,0.0
Elgeyo Marakwet,Critical,2026,0.153,0.1071,4166.0,4392.0,226.0
Elgeyo Marakwet,Critical,2027,0.153,0.1071,3529.0,3922.0,393.0
Elgeyo Marakwet,Critical,2028,0.153,0.1071,2989.0,3502.0,513.0
Elgeyo Marakwet,Critical,2029,0.153,0.1071,2532.0,3127.0,595.0
Elgeyo Marakwet,Critical,2030,0.153,0.1071,2144.0,2792.0,648.0
Embu,High,2025,0.0888,0.0888,11406.0,11406.0,0.0
Embu,High,2026,0.0888,0.06216,10393.0,10697.0,304.0
Embu,High,2027,0.0888,0.06216,9470.0,10032.0,562.0
Embu,High,2028,0.0888,0.06216,8629.0,9408.0,779.0
Embu,High,2029,0.0888,0.06216,7863.0,8824.0,961.0
Embu,High,2030,0.0888,0.06216,7165.0,8275.0,1110.0
Garissa,Moderate,2025,0.112052,0.112052,1504.0,1504.0,0.0
Garissa,Moderate,2026,0.112052,0.112052,1335.0,1335.0,0.0
Garissa,Moderate,2027,0.112052,0.112052,1186.0,1186.0,0.0
Garissa,Moderate,2028,0.112052,0.112052,1053.0,1053.0,0.0
Garissa,Moderate,2029,0.112052,0.112052,935.0,935.0,0.0
Garissa,Moderate,2030,0.112052,0.112052,830.0,830.0,0.0
Homa Bay,High,2025,0.0913,0.0913,121473.0,121473.0,0.0
Homa Bay,High,2026,0.0913,0.06391,110383.0,113710.0,3327.0
Homa Bay,High,2027,0.0913,0.06391,100305.0,106442.0,6138.0
Homa Bay,High,2028,0.0913,0.06391,91147.0,99640.0,8493.0
Homa Bay,High,2029,0.0913,0.06391,82825.0,93272.0,10447.0
Homa Bay,High,2030,0.0913,0.06391,75263.0,87311.0,12048.0
Isiolo,Moderate,2025,0.0888,0.0888,2322.0,2322.0,0.0
Isiolo,Moderate,2026,0.0888,0.0888,2116.0,2116.0,0.0
Isiolo,Moderate,2027,0.0888,0.0888,1928.0,1928.0,0.0
Isiolo,Moderate,2028,0.0888,0.0888,1757.0,1757.0,0.0
Isiolo,Moderate,2029,0.0888,0.0888,1601.0,1601.0,0.0
Isiolo,Moderate,2030,0.0888,0.0888,1459.0,1459.0,0.0
Kajiado,Critical,2025,0.153,0.153,18147.0,18147.0,0.0
Kajiado,Critical,2026,0.153,0.1071,15371.0,16203.0,833.0
Kajiado,Critical,2027,0.153,0.1071,13019.0,14468.0,1449.0
Kajiado,Critical,2028,0.153,0.1071,11027.0,12919.0,1892.0
Kajiado,Critical,2029,0.153,0.1071,9340.0,11535.0,2195.0
Kajiado,Critical,2030,0.153,0.1071,7911.0,10300.0,2389.0
Kakamega,High,2025,0.0895,0.0895,48805.0,48805.0,0.0
Kakamega,High,2026,0.0895,0.06265,44437.0,45747.0,1310.0
Kakamega,High,2027,0.0895,0.06265,40460.0,42881.0,2421.0
Kakamega,High,2028,0.0895,0.06265,36839.0,40195.0,3356.0
Kakamega,High,2029,0.0895,0.06265,33542.0,37677.0,4135.0
Kakamega,High,2030,0.0895,0.06265,30540.0,35316.0,4776.0
Kericho,Critical,2025,0.153,0.153,16396.0,16396.0,0.0
Kericho,Critical,2026,0.153,0.1071,13887.0,14640.0,753.0
Kericho,Critical,2027,0.153,0.1071,11763.0,13072.0,1309.0
Kericho,Critical,2028,0.153,0.1071,9963.0,11672.0,1709.0
Kericho,Critical,2029,0.153,0.1071,8439.0,10422.0,1983.0
Kericho,Critical,2030,0.153,0.1071,7148.0,9306.0,2158.0
Kiambu,High,2025,0.1007,0.1007,45049.0,45049.0,0.0
Kiambu,High,2026,0.1007,0.07049,40513.0,41873.0,1361.0
Kiambu,High,2027,0.1007,0.07049,36433.0,38922.0,2489.0
Kiambu,High,2028,0.1007,0.07049,32764.0,36178.0,3414.0
Kiambu,High,2029,0.1007,0.07049,29465.0,33628.0,4163.0
Kiambu,High,2030,0.1007,0.07049,26498.0,31258.0,4760.0
Kilifi,Moderate,2025,0.0926,0.0926,28445.0,28445.0,0.0
Kilifi,Moderate,2026,0.0926,0.0926,25811.0,25811.0,0.0
Kilifi,Moderate,2027,0.0926,0.0926,23421.0,23421.0,0.0
Kilifi,Moderate,2028,0.0926,0.0926,21252.0,21252.0,0.0
Kilifi,Moderate,2029,0.0926,0.0926,19284.0,19284.0,0.0
Kilifi,Moderate,2030,0.0926,0.0926,17498.0,17498.0,0.0
Kirinyaga,High,2025,0.1007,0.1007,12706.0,12706.0,0.0
Kirinyaga,High,2026,0.1007,0.07049,11427.0,11810.0,384.0
Kirinyaga,High,2027,0.1007,0.07049,10276.0,10978.0,702.0
Kirinyaga,High,2028,0.1007,0.07049,9241.0,10204.0,963.0
Kirinyaga,High,2029,0.1007,0.07049,8311.0,9485.0,1174.0
Kirinyaga,High,2030,0.1007,0.07049,7474.0,8816.0,1343.0
Kisii,High,2025,0.0913,0.0913,40297.0,40297.0,0.0
Kisii,High,2026,0.0913,0.06391,36618.0,37722.0,1104.0
Kisii,High,2027,0.0913,0.06391,33275.0,35311.0,2036.0
Kisii,High,2028,0.0913,0.06391,30237.0,33054.0,2817.0
Kisii,High,2029,0.0913,0.06391,27476.0,30942.0,3466.0
Kisii,High,2030,0.0913,0.06391,24968.0,28964.0,3997.0
Kisumu,High,2025,0.0913,0.0913,109415.0,109415.0,0.0
Kisumu,High,2026,0.0913,0.06391,99425.0,102422.0,2997.0
Kisumu,High,2027,0.0913,0.06391,90348.0,95876.0,5529.0
Kisumu,High,2028,0.0913,0.06391,82099.0,89749.0,7650.0
Kisumu,High,2029,0.0913,0.06391,74603.0,84013.0,9410.0
Kisumu,High,2030,0.0913,0.06391,67792.0,78644.0,10852.0
Kitui,High,2025,0.0888,0.0888,24836.0,24836.0,0.0
Kitui,High,2026,0.0888,0.06216,22631.0,23292.0,662.0
Kitui,High,2027,0.0888,0.06216,20621.0,21844.0,1223.0
Kitui,High,2028,0.0888,0.06216,18790.0,20487.0,1697.0
Kitui,High,2029,0.0888,0.06216,17121.0,19213.0,2092.0
Kitui,High,2030,0.0888,0.06216,15601.0,18019.0,2418.0
Kwale,High,2025,0.0926,0.0926,14389.0,14389.0,0.0
Kwale,High,2026,0.0926,0.06482,13057.0,13456.0,400.0
Kwale,High,2027,0.0926,0.06482,11848.0,12584.0,737.0
Kwale,High,2028,0.0926,0.06482,10750.0,11768.0,1018.0
Kwale,High,2029,0.0926,0.06482,9755.0,11006.0,1251.0
Kwale,High,2030,0.0926,0.06482,8852.0,10292.0,1441.0
Laikipia,Critical,2025,0.153,0.153,9783.0,9783.0,0.0
Laikipia,Critical,2026,0.153,0.1071,8286.0,8735.0,449.0
Laikipia,Critical,2027,0.153,0.1071,7018.0,7800.0,781.0
Laikipia,Critical,2028,0.153,0.1071,5945.0,6964.0,1020.0
Laikipia,Critical,2029,0.153,0.1071,5035.0,6218.0,1183.0
Laikipia,Critical,2030,0.153,0.1071,4265.0,5552.0,1288.0
Lamu,Low,2025,0.0926,0.0926,1944.0,1944.0,0.0
Lamu,Low,2026,0.0926,0.0926,1764.0,1764.0,0.0
Lamu,Low,2027,0.0926,0.0926,1601.0,1601.0,0.0
Lamu,Low,2028,0.0926,0.0926,1452.0,1452.0,0.0
Lamu,Low,2029,0.0926,0.0926,1318.0,1318.0,0.0
Lamu,Low,2030,0.0926,0.0926,1196.0,1196.0,0.0
Machakos,High,2025,0.0888,0.0888,31351.0,31351.0,0.0
Machakos,High,2026,0.0888,0.06216,28567.0,29402.0,835.0
Machakos,High,2027,0.0888,0.06216,26030.0,27575.0,1544.0
Machakos,High,2028,0.0888,0.06216,23719.0,25861.0,2142.0
Machakos,High,2029,0.0888,0.06216,21613.0,24253.0,2640.0
Machakos,High,2030,0.0888,0.06216,19693.0,22745.0,3052.0
Makueni,High,2025,0.0888,0.0888,25027.0,25027.0,0.0
Makueni,High,2026,0.0888,0.06216,22805.0,23471.0,667.0
Makueni,High,2027,0.0888,0.06216,20780.0,22012.0,1233.0
Makueni,High,2028,0.0888,0.06216,18934.0,20644.0,1710.0
Makueni,High,2029,0.0888,0.06216,17253.0,19361.0,2108.0
Makueni,High,2030,0.0888,0.06216,15721.0,18157.0,2436.0
Mandera,High,2025,0.112052,0.112052,830.0,830.0,0.0
Mandera,High,2026,0.112052,0.078437,737.0,765.0,28.0
Mandera,High,2027,0.112052,0.078437,654.0,705.0,50.0
Mandera,High,2028,0.112052,0.078437,581.0,650.0,69.0
Mandera,High,2029,0.112052,0.078437,516.0,599.0,83.0
Mandera,High,2030,0.112052,0.078437,458.0,552.0,94.0
Marsabit,Moderate,2025,0.0888,0.0888,1419.0,1419.0,0.0
Marsabit,Moderate,2026,0.0888,0.0888,1293.0,1293.0,0.0
Marsabit,Moderate,2027,0.0888,0.0888,1178.0,1178.0,0.0
Marsabit,Moderate,2028,0.0888,0.0888,1074.0,1074.0,0.0
Marsabit,Moderate,2029,0.0888,0.0888,978.0,978.0,0.0
Marsabit,Moderate,2030,0.0888,0.0888,891.0,891.0,0.0
Meru,High,2025,0.0888,0.0888,23396.0,23396.0,0.0
Meru,High,2026,0.0888,0.06216,21318.0,21942.0,623.0
Meru,High,2027,0.0888,0.06216,19425.0,20578.0,1152.0
Meru,High,2028,0.0888,0.06216,17700.0,19299.0,1598.0
Meru,High,2029,0.0888,0.06216,16129.0,18099.0,1970.0
Meru,High,2030,0.0888,0.06216,14696.0,16974.0,2278.0
Migori,High,2025,0.0913,0.0913,76119.0,76119.0,0.0
Migori,High,2026,0.0913,0.06391,69169.0,71254.0,2085.0
Migori,High,2027,0.0913,0.06391,62854.0,66700.0,3846.0
Migori,High,2028,0.0913,0.06391,57116.0,62438.0,5322.0
Migori,High,2029,0.0913,0.06391,51901.0,58447.0,6546.0
Migori,High,2030,0.0913,0.06391,47162.0,54712.0,7549.0
Mombasa,High,2025,0.0926,0.0926,50271.0,50271.0,0.0
Mombasa,High,2026,0.0926,0.06482,45616.0,47012.0,1397.0
Mombasa,High,2027,0.0926,0.06482,41392.0,43965.0,2573.0
Mombasa,High,2028,0.0926,0.06482,37559.0,41115.0,3556.0
Mombasa,High,2029,0.0926,0.06482,34081.0,38450.0,4369.0
Mombasa,High,2030,0.0926,0.06482,30925.0,35958.0,5033.0
Murang'a,High,2025,0.1007,0.1007,17864.0,17864.0,0.0
Murang'a,High,2026,0.1007,0.07049,16065.0,16605.0,540.0
Murang'a,High,2027,0.1007,0.07049,14447.0,15434.0,987.0
Murang'a,High,2028,0.1007,0.07049,12992.0,14346.0,1354.0
Murang'a,High,2029,0.1007,0.07049,11684.0,13335.0,1651.0
Murang'a,High,2030,0.1007,0.07049,10508.0,12395.0,1888.0
Nairobi,High,2025,0.113,0.113,173190.0,173190.0,0.0
Nairobi,High,2026,0.113,0.0791,153620.0,159491.0,5871.0
Nairobi,High,2027,0.113,0.0791,136261.0,146875.0,10614.0
Nairobi,High,2028,0.113,0.0791,120863.0,135257.0,14394.0
Nairobi,High,2029,0.113,0.0791,107206.0,124558.0,17353.0
Nairobi,High,2030,0.113,0.0791,95091.0,114706.0,19614.0
Nakuru,Critical,2025,0.153,0.153,45229.0,45229.0,0.0
Nakuru,Critical,2026,0.153,0.1071,38309.0,40385.0,2076.0
Nakuru,Critical,2027,0.153,0.1071,32448.0,36060.0,3612.0
Nakuru,Critical,2028,0.153,0.1071,27483.0,32198.0,4715.0
Nakuru,Critical,2029,0.153,0.1071,23278.0,28749.0,5471.0
Nakuru,Critical,2030,0.153,0.1071,19717.0,25670.0,5954.0
Nandi,Critical,2025,0.153,0.153,13387.0,13387.0,0.0
Nandi,Critical,2026,0.153,0.1071,11339.0,11953.0,614.0
Nandi,Critical,2027,0.153,0.1071,9604.0,10673.0,1069.0
Nandi,Critical,2028,0.153,0.1071,8135.0,9530.0,1395.0
Nandi,Critical,2029,0.153,0.1071,6890.0,8509.0,1619.0
Nandi,Critical,2030,0.153,0.1071,5836.0,7598.0,1762.0
Narok,Critical,2025,0.153,0.153,12261.0,12261.0,0.0
Narok,Critical,2026,0.153,0.1071,10385.0,10948.0,563.0
Narok,Critical,2027,0.153,0.1071,8796.0,9775.0,979.0
Narok,Critical,2028,0.153,0.1071,7450.0,8728.0,1278.0
Narok,Critical,2029,0.153,0.1071,6310.0,7794.0,1483.0
Narok,Critical,2030,0.153,0.1071,5345.0,6959.0,1614.0
Nyamira,High,2025,0.0913,0.0913,16519.0,16519.0,0.0
Nyamira,High,2026,0.0913,0.06391,15011.0,15463.0,452.0
Nyamira,High,2027,0.0913,0.06391,13640.0,14475.0,835.0
Nyamira,High,2028,0.0913,0.06391,12395.0,13550.0,1155.0
Nyamira,High,2029,0.0913,0.06391,11263.0,12684.0,1421.0
Nyamira,High,2030,0.0913,0.06391,10235.0,11873.0,1638.0
Nyandarua,High,2025,0.1007,0.1007,11143.0,11143.0,0.0
Nyandarua,High,2026,0.1007,0.07049,10021.0,10358.0,337.0
Nyandarua,High,2027,0.1007,0.07049,9012.0,9627.0,616.0
Nyandarua,High,2028,0.1007,0.07049,8104.0,8949.0,844.0
Nyandarua,High,2029,0.1007,0.07049,7288.0,8318.0,1030.0
Nyandarua,High,2030,0.1007,0.07049,6554.0,7732.0,1177.0
Nyeri,High,2025,0.1007,0.1007,18721.0,18721.0,0.0
Nyeri,High,2026,0.1007,0.07049,16836.0,17401.0,566.0
