county,vlt_valid_under15,vls_suppressed_under15,vlt_valid_male_15plus,vls_suppressed_male_15plus,vlt_valid_female_15plus,vls_suppressed_female_15plus,vls_rate_male15plus,vls_rate_female15plus,vls_rate_under15,vls_rate_adult
Baringo,73,56,807,743.0,1821,1701,0.9207,0.9341,0.7671,0.93
Bomet,272,230,2276,2112.0,5230,4872,0.9279,0.9315,0.8456,0.9305
Bungoma,326,289,4039,3848.0,10589,10221,0.9527,0.9652,0.8865,0.9618
Busia,247,218,5024,4818.0,10792,10454,0.959,0.9687,0.8826,0.9656
Elgeyo Marakwet,112,92,986,939.0,2332,2211,0.9523,0.9481,0.8214,0.9494
Embu,100,83,1664,1547.0,4025,3817,0.9297,0.9483,0.83,0.9429
Homa Bay,1861,1669,23959,22702.0,48389,46525,0.9475,0.9615,0.8968,0.9569
Kajiado,169,151,2380,2284.0,5633,5444,0.9597,0.9664,0.8935,0.9644
Kakamega,1047,927,7378,7050.0,18179,17501,0.9555,0.9627,0.8854,0.9606
Kericho,249,213,3031,2881.0,6387,6096,0.9505,0.9544,0.8554,0.9532
Kiambu,425,372,9015,8651.0,19853,19112,0.9596,0.9627,0.8753,0.9617
Kilifi,412,310,3880,3423.0,10730,9831,0.8822,0.9162,0.7524,0.9072
Kirinyaga,113,96,2842,2773.0,6185,6051,0.9757,0.9783,0.8496,0.9775
Kisii,938,857,10111,9855.0,23896,23220,0.9747,0.9717,0.9136,0.9726
Kisumu,1342,1210,18522,17661.0,36232,34898,0.9535,0.9632,0.9016,0.9599
Kitui,311,251,3981,3753.0,10781,10324,0.9427,0.9576,0.8071,0.9536
Kwale,309,261,1970,1825.0,5944,5610,0.9264,0.9438,0.8447,0.9395
Laikipia,121,111,1635,1559.0,3719,3606,0.9535,0.9696,0.9174,0.9647
Machakos,204,176,3700,3538.0,9041,8697,0.9562,0.962,0.8627,0.9603
Makueni,286,258,4125,3942.0,10585,10186,0.9556,0.9623,0.9021,0.9604
Meru,293,247,3955,3722.0,8821,8385,0.9411,0.9506,0.843,0.9476
Migori,867,772,12212,11531.0,26780,25709,0.9442,0.96,0.8904,0.9551
Mombasa,482,410,8274,7718.0,18026,17079,0.9328,0.9475,0.8506,0.9429
Murang'a,156,144,3044,2937.0,6830,6609,0.9648,0.9676,0.9231,0.9668
Nairobi,1586,1410,33034,31724.0,69143,66730,0.9603,0.9651,0.889,0.9636
Nakuru,614,544,7435,7075.0,16972,16278,0.9516,0.9591,0.886,0.9568
Nandi,274,231,2467,2300.0,5589,5247,0.9323,0.9388,0.8431,0.9368
Narok,318,268,2144,2020.0,4860,4538,0.9422,0.9337,0.8428,0.9363
Nyamira,158,136,1945,1860.0,4542,4388,0.9563,0.9661,0.8608,0.9632
Nyandarua,96,80,1865,1745.0,4095,3887,0.9357,0.9492,0.8333,0.945
Nyeri,134,121,4156,4037.0,9255,9082,0.9714,0.9813,0.903,0.9782
Samburu,21,16,199,183.0,457,416,0.9196,0.9103,0.7619,0.9131
Siaya,1800,1509,19015,16567.0,37140,33675,0.8713,0.9067,0.8383,0.8947
Taita Taveta,101,84,1410,1250.0,3203,2923,0.8865,0.9126,0.8317,0.9046
Tharaka Nithi,77,64,1610,1513.0,3446,3267,0.9398,0.9481,0.8312,0.9454
Trans Nzoia,565,512,4611,4401.0,10216,9801,0.9545,0.9594,0.9062,0.9578
Turkana,86,68,804,747.0,1475,1365,0.9291,0.9254,0.7907,0.9267
Uasin Gishu,744,677,10243,9780.0,20890,19985,0.9548,0.9567,0.9099,0.9561
Vihiga,276,246,2352,2234.0,5226,4958,0.9498,0.9487,0.8913,0.9491
West Pokot,98,77,720,656.0,1678,1535,0.9111,0.9148,0.7857,0.9137
Garissa,52,45,249,235.0,737,681,0.9438,0.924,0.8654,0.929
Isiolo,27,23,130,117.0,460,415,0.9,0.9022,0.8519,0.9017
Lamu,53,42,170,137.0,404,330,0.8059,0.8168,0.7925,0.8136
Mandera,0,0,0,2773.0,1,1,1.0,1.0,0.8519,1.0
Marsabit,6,5,39,34.0,106,98,0.8718,0.9245,0.8333,0.9103
Tana River,44,29,189,171.0,624,552,0.9048,0.8846,0.6591,0.8893
Wajir,0,0,0,2773.0,2,2,1.0,1.0,0.8519,1.0
